player,hand_id,num_players,position,preflop_actions,flop_actions,turn_actions,river_actions
ccv,831950840,8,7,f,-,-,-
ccv,831950892,9,6,f,-,-,-
ccv,831950966,11,5,KQ,-,-,-
ccv,831952799,10,9,f,-,-,-
ccv,831952874,10,8,f,-,-,-
ccv,831952938,10,6,c,f,-,-
ccv,831952997,9,5,KQ,-,-,-
ccv,833541641,6,4,c,k,k,k
ccv,833541694,6,3,cc,kf,-,-
ccv,833541802,6,2,Br,bf,-,-
ccv,833541865,5,1,Br,b,-,-
ccv,833541909,4,4,cc,f,-,-
ccv,833541942,4,3,cc,f,-,-
ccv,833541979,4,2,Bc,kf,-,-
ccv,833542023,4,1,Bcc,kf,-,-
ccv,833542077,4,4,f,-,-,-
ccv,833542111,4,3,r,b,-,-
ccv,833542142,4,2,Bk,k,k,k
ccv,833542192,3,1,Bc,b,b,-
ccv,833542226,3,3,f,-,-,-
ccv,833542234,3,2,Bk,k,k,k
ccv,833542266,3,1,Bc,b,k,k
ccv,833542312,3,3,c,k,c,k
ccv,833542356,3,2,Bc,b,kc,kf
ccv,833542435,4,1,Bc,kf,-,-
ccv,833542482,4,4,c,k,k,k
ccv,833542540,4,3,c,b,-,-
ccv,833542579,4,2,Bk,b,k,k
ccv,833542668,4,1,Bc,k,kf,-
ccv,833542730,4,4,cc,c,c,r
ccv,833542812,5,4,c,k,k,k
ccv,833542892,5,3,c,k,kf,-
ccv,833542939,5,2,Bk,c,c,f
ccv,833543016,5,1,Bc,kc,k,k
ccv,833543065,5,5,f,-,-,-
ccv,833543147,5,4,c,b,b,b
ccv,833543221,5,3,c,f,-,-
ccv,833543277,5,2,Bf,-,-,-
ccv,833543352,5,1,Bf,-,-,-
ccv,833543409,5,5,r,k,br,b
ccv,833543556,4,3,c,k,c,f
ccv,833543655,4,2,Bk,kc,kc,k
ccv,833543795,4,1,Br,b,kc,k
ccv,833543923,4,4,c,r,k,k
ccv,833544047,4,3,rr,r,r,-
ccv,833544201,4,2,Bc,r,b,-
ccv,833544350,4,1,Bc,k,Q,-
ChrisVWH,984548830,6,6,f,-,-,-
ChrisVWH,984548848,6,5,f,-,-,-
ChrisVWH,984548875,6,4,cc,kf,-,-
ChrisVWH,984548901,6,3,f,-,-,-
ChrisVWH,984548925,6,2,Bc,kr,b,b
ChrisVWH,984548967,7,1,Bf,-,-,-
ChrisVWH,984549010,7,7,f,-,-,-
ChrisVWH,984549033,7,6,r,f,-,-
ChrisVWH,984549061,7,5,f,-,-,-
ChrisVWH,984549082,6,3,f,-,-,-
ChrisVWH,984549104,6,2,Bk,kf,-,-
ChrisVWH,984549187,6,1,Bf,-,-,-
ChrisVWH,984549206,6,6,f,-,-,-
ChrisVWH,984549246,7,6,rc,c,f,-
ChrisVWH,984549307,7,5,Q,-,-,-
ChrisVWH,985056418,9,7,f,-,-,-
ChrisVWH,985056473,9,6,f,-,-,-
ChrisVWH,985056541,8,5,f,-,-,-
ChrisVWH,985056591,9,4,c,rr,bc,c
ChrisVWH,985056652,9,3,f,-,-,-
ChrisVWH,985056716,9,2,Bc,f,-,-
ChrisVWH,985056746,9,1,Bf,-,-,-
ChrisVWH,985056823,9,9,r,c,f,-
ChrisVWH,985056885,9,8,f,-,-,-
ChrisVWH,985056925,8,7,cc,k,cf,-
ChrisVWH,985057003,8,6,f,-,Q,-
ChrisVWH,985323565,10,10,f,-,-,-
ChrisVWH,985323700,10,9,rc,b,k,f
ChrisVWH,985323788,10,8,rc,rc,rc,c
ChrisVWH,985323913,10,7,rc,k,b,b
ChrisVWH,985323989,10,6,ccc,cc,k,c
ChrisVWH,985324129,10,5,Q,-,-,-
pcw,806210128,6,6,f,-,-,-
pcw,806210220,7,5,r,r,b,b
pcw,806210293,6,4,ccc,kf,-,-
pcw,806210410,6,3,rc,rr,c,c
pcw,806210496,8,2,Bf,-,-,-
pcw,806210601,6,1,Bc,kc,b,b
pcw,806210662,6,6,f,-,-,-
pcw,806210771,8,6,f,-,-,-
pcw,806210838,8,4,f,-,-,-
pcw,806210936,5,2,Bk,kf,-,-
pcw,806210987,6,1,Bc,kf,-,-
pcw,806211058,6,6,f,-,-,-
pcw,806211126,5,4,f,-,-,-
pcw,806211194,5,5,c,f,-,-
pcw,806211265,4,3,fQ,-,-,-
pcw,806886870,9,9,c,c,k,f
pcw,806887026,9,8,f,-,-,-
pcw,806887084,10,8,f,-,-,-
pcw,806887186,10,7,c,c,c,b
pcw,806887289,10,6,f,-,-,-
pcw,806887385,9,5,f,-,Q,-
Jeff,909961356,9,1,Bc,KQ,-,-
Jeff,909969633,10,4,f,-,-,-
Jeff,909969757,10,3,f,-,-,-
Jeff,909969852,10,2,Bc,bf,-,-
Jeff,909969990,10,1,Bf,-,-,-
Jeff,909970077,10,10,f,-,-,-
Jeff,909970145,10,9,f,-,-,-
Jeff,909970214,10,8,f,-,-,-
Jeff,909970241,10,7,c,kf,-,-
Jeff,909970279,10,6,f,Q,-,-
Jeff,910495538,10,4,f,-,-,-
Jeff,910495622,10,3,f,-,-,-
Jeff,910495702,10,2,Bk,kf,-,-
Jeff,910495795,10,1,Bc,kf,-,-
Jeff,910495856,9,9,f,-,-,-
Jeff,910495926,10,9,KQ,-,-,-
Jeff,910570803,10,9,f,-,-,-
Jeff,910570879,10,8,f,-,-,-
Jeff,910571015,10,7,f,-,-,-
Jeff,910571123,9,5,f,-,-,-
Jeff,910571159,9,6,c,f,-,-
Jeff,910571257,8,4,c,c,f,-
Jeff,910571301,8,3,c,k,c,cc
Jeff,910571380,8,2,Bk,c,c,b
Jeff,910571430,7,1,Bc,kc,kf,-
Jeff,910571469,7,7,c,c,c,k
Jeff,910571530,9,8,f,-,-,-
Jeff,910571617,6,4,c,b,br,b
Jeff,910571664,6,4,f,-,-,-
Jeff,910571727,6,3,cc,kf,-,-
Jeff,910571767,6,2,Bk,k,k,c
Jeff,910571803,6,1,Bf,-,-,-
Jeff,910571839,6,6,f,-,-,-
Jeff,910571911,8,7,f,-,-,-
Jeff,910571947,8,6,f,-,-,-
Jeff,910572000,8,5,f,-,-,-
Jeff,910572080,8,4,r,b,b,-
Jeff,910572151,10,3,f,-,-,-
Jeff,910572190,9,2,Bk,kf,-,-
Jeff,910572276,9,1,Bc,kf,-,-
Jeff,910572362,9,9,f,-,-,-
Jeff,910572412,10,9,f,-,-,-
Jeff,910572451,9,7,f,-,-,-
Jeff,910572540,9,6,r,k,kc,kc
Jeff,910572669,9,5,f,-,-,-
Jeff,910572783,9,4,cc,kc,kr,k
Jeff,910572915,9,3,f,-,-,-
Jeff,910572975,8,2,Bk,kf,-,-
Jeff,910573028,8,1,Bf,-,-,-
Jeff,910573072,8,8,c,r,-,-
Jeff,910573114,8,7,f,-,-,-
Jeff,910573166,8,6,f,-,-,-
Jeff,910573201,8,5,f,-,-,-
Jeff,910573215,8,4,cc,bc,k,kf
Jeff,910573277,8,3,f,-,-,-
Jeff,910573343,8,2,Bk,kc,kf,-
Jeff,910573429,7,1,Bf,-,-,-
Jeff,910573454,6,6,f,-,-,-
Jeff,910573494,6,5,c,c,k,b
Jeff,910573539,6,4,c,c,k,rr
Jeff,910573570,6,3,f,-,-,-
Jeff,910573615,8,2,Bk,kf,-,-
Jeff,910573696,9,1,Bf,-,-,-
Jeff,910573777,8,8,f,-,-,-
Jeff,910573812,8,7,f,-,-,-
Jeff,910573857,8,6,f,-,-,-
Jeff,910573924,8,5,f,-,-,-
Jeff,910573990,8,4,f,-,-,-
Jeff,910574075,8,3,f,-,-,-
Jeff,910574103,7,2,Bk,k,b,kc
Jeff,910574154,7,1,Bc,b,b,b
Jeff,910574194,7,7,f,-,-,-
Jeff,910574239,7,6,f,-,-,-
Jeff,910574269,7,5,f,-,-,-
Jeff,910574289,7,4,f,-,-,-
Jeff,910574327,7,3,c,k,b,-
Jeff,910574355,8,2,Bc,kr,bc,kf
Jeff,910574419,8,1,Bf,-,-,-
Jeff,910574451,8,8,f,-,-,-
Jeff,910574506,8,7,f,-,-,-
Jeff,910574549,8,6,f,-,-,-
Jeff,910574571,8,5,r,c,c,b
Jeff,910574628,8,4,f,-,-,-
Jeff,910574671,8,3,f,-,-,-
Jeff,910574729,8,2,Bc,k,kr,b
Jeff,910574786,8,1,Bc,kf,-,-
Jeff,910574810,8,8,f,-,-,-
Jeff,910574877,10,9,f,-,-,-
Jeff,910574951,10,8,f,-,-,-
Jeff,910575031,10,7,c,b,b,k
Jeff,910575114,10,6,fQ,-,-,-
Jeff,910659838,10,7,f,-,-,-
Jeff,910659887,10,6,f,-,-,-
Jeff,910659943,10,5,cc,kc,k,k
Jeff,910660009,10,4,f,-,-,-
Jeff,910660043,10,3,f,-,-,-
Jeff,910660089,10,2,Bf,-,-,-
Jeff,910660128,9,1,Br,b,b,kc
Jeff,910660194,9,9,f,-,-,-
Jeff,910660227,10,8,f,-,-,-
Jeff,910660270,10,7,cc,kf,-,-
Jeff,910660359,9,5,f,-,-,-
Jeff,910660444,8,4,f,-,-,-
Jeff,910660468,8,3,f,-,-,-
Jeff,910660535,8,2,Bk,kf,-,-
Jeff,910660580,8,1,Bf,-,-,-
Jeff,910660629,8,8,f,-,-,-
Jeff,910660670,8,7,f,-,-,-
Jeff,910660706,8,6,f,-,-,-
Jeff,910660728,8,5,f,-,-,-
Jeff,910660738,8,4,c,b,b,b
Jeff,910660785,9,3,f,-,-,-
Jeff,910660852,9,2,Bk,k,b,k
Jeff,910660883,9,1,Bc,k,krc,kc
Jeff,910660943,9,9,f,-,-,-
Jeff,910660989,10,9,f,-,-,-
Jeff,910661048,10,8,f,-,-,-
Jeff,910661111,10,7,c,k,f,-
Jeff,910661163,10,6,f,-,-,-
Jeff,910661212,10,5,f,-,-,-
Jeff,910661260,10,4,cc,f,-,-
Jeff,910661466,9,3,ccc,kc,kr,b
Jeff,910661585,9,2,Bc,kf,-,-
Jeff,910661643,10,1,Brc,krc,kc,k
Jeff,910661722,10,10,c,c,k,f
Jeff,910661779,9,8,f,-,-,-
Jeff,910661814,9,7,f,-,-,-
Jeff,910661874,9,6,c,r,k,f
Jeff,910661929,9,5,f,-,-,-
Jeff,910661983,9,5,f,-,-,-
Jeff,910662011,9,3,r,k,kf,-
Jeff,910662049,9,2,Bc,kf,-,-
Jeff,910662081,9,1,Bcc,k,k,k
Jeff,910662137,10,10,f,-,-,-
Jeff,910662174,10,9,f,-,-,-
Jeff,910662240,10,8,f,-,-,-
Jeff,910662280,10,7,f,-,-,-
Jeff,910662325,10,6,f,-,-,-
Jeff,910662363,10,5,f,-,-,-
Jeff,910662395,10,4,f,-,-,-
Jeff,910662486,10,3,f,-,-,-
Jeff,910662496,10,2,Bk,kf,-,-
Jeff,910662534,10,1,Bf,-,-,-
Jeff,910662559,10,10,f,-,-,-
Jeff,910662601,9,8,f,-,-,-
Jeff,910662679,9,7,c,cc,kf,-
Jeff,910662734,9,6,f,-,-,-
Jeff,910662754,9,5,c,c,k,k
Jeff,910662785,9,4,f,-,-,-
Jeff,910662832,9,3,f,-,-,-
Jeff,910662877,9,2,Bk,f,-,-
Jeff,910662916,9,1,Bc,b,-,-
Jeff,910662959,9,9,c,c,k,k
Jeff,910663025,9,8,c,f,-,-
Jeff,910663047,9,7,f,-,-,-
Jeff,910663066,9,6,f,-,-,-
Jeff,910663127,9,5,f,-,-,-
Jeff,910663158,9,4,f,-,-,-
Jeff,910663184,9,3,f,-,-,-
Jeff,910663222,9,2,Bf,-,-,-
Jeff,910663236,9,1,Bf,-,-,-
Jeff,910663261,9,9,f,-,-,-
Jeff,910663285,9,8,f,-,-,-
Jeff,910663344,10,8,f,-,-,-
Jeff,910663411,10,7,f,-,-,-
Jeff,910663437,9,5,f,-,-,-
Jeff,910663478,10,4,f,-,-,-
Jeff,910663548,10,3,f,-,-,-
Jeff,910663641,10,2,Bf,-,-,-
Jeff,910663712,10,1,Bf,-,-,-
Jeff,910663760,9,9,f,-,-,-
Jeff,910663803,9,8,f,-,-,-
Jeff,910663855,9,7,f,-,-,-
Jeff,910663898,10,6,f,-,-,-
Jeff,910663978,10,5,f,-,-,-
Jeff,910664017,10,4,f,-,-,-
Jeff,910664070,10,3,f,-,-,-
Jeff,910664106,10,2,Bc,k,kc,kf
Jeff,910664172,10,1,Bf,-,-,-
Jeff,910664233,10,10,f,-,-,-
Jeff,910664277,10,9,f,-,-,-
Jeff,910664329,10,8,f,-,-,-
Jeff,910664384,10,7,f,-,-,-
Jeff,910664435,10,6,cr,b,b,k
Jeff,910664522,10,5,cQ,-,-,-
Jeff,910748424,6,2,Bf,-,-,-
Jeff,910748476,4,1,Bcc,kc,kc,kf
Jeff,910748516,4,4,cc,f,-,-
Jeff,910748546,4,2,Bc,c,c,f
Jeff,910748565,4,1,Bf,-,-,-
Jeff,910748568,4,4,f,-,-,-
Jeff,910748594,4,3,cc,kr,k,k
