player,total_hands,vpip_hands,pfr_hands,channels_played_count,months_played_count,channels_played,VPIP,PFR,heuristic_label,vpip_minus_pfr,cluster
r00lbot,280960,39561,17185,2,23,"holdem,holdem1",14.080652050113896,6.116529043280182,Rock,7.964123006833714,0
kfish,258148,67594,21722,3,48,"holdem,holdem1,holdemii",26.18420440987341,8.414552892139394,Fish,17.76965151773401,0
kwAAkbot,194651,45736,12424,2,19,"holdem,holdem1",23.49641152627009,6.382705457459761,Rock,17.113706068810334,0
loki,101821,31311,12498,3,11,"holdem,holdem1,holdemii",30.75102385558971,12.274481688453266,Fish,18.476542167136444,0
Funky,83715,44765,661,2,29,"holdem,holdem1",53.473093232992895,0.7895837066236637,Fish,52.68350952636923,2
pokibot1,79732,22901,9265,2,7,"holdem,holdem1",28.72247027542267,11.62017759494306,Fish,17.102292680479607,0
loki2c,71031,19240,6366,2,3,"holdem,holdem1",27.086764933620533,8.96228407315116,Fish,18.12448086046937,0
PIERRE,62994,19227,1977,2,28,"holdem,holdem1",30.521954471854464,3.1383941327745504,Fish,27.383560339079917,0
going,62468,31227,4797,2,33,"holdem,holdem1",49.98879426266248,7.679131715438305,Fish,42.30966254722418,0
lokibot,62447,18353,6845,1,6,holdem,29.389722484667,10.961295178311207,Fish,18.42842730635579,0
gary7,60315,16081,2046,2,19,"holdem,holdem1",26.661692779573904,3.392190997264362,Fish,23.269501782309543,0
Muck,55280,30077,7483,2,41,"holdem,holdem1",54.40846599131694,13.536541244573083,Fish,40.87192474674386,2
MetroPam,53406,30621,3157,2,29,"holdem,holdem1",57.33625435344344,5.911320825375426,Fish,51.42493352806801,2
kwikfish,52921,11443,2862,1,7,holdem,21.62279624345723,5.408061072164169,Rock,16.21473517129306,0
show,51940,17121,6362,3,33,"holdem,holdem1,holdemii",32.963034270311894,12.248748556026184,Fish,20.714285714285708,0
PokiSimA,51891,14833,6101,1,6,holdem,28.584918386618103,11.757337495904878,Fish,16.827580890713225,0
edge,50066,22932,13115,3,29,"holdem,holdem1,holdemii",45.80353932808692,26.195422042903367,LAG,19.608117285183557,3
loki2a,49714,13576,4650,2,4,"holdem,holdem1",27.30820292070644,9.35350203162087,Fish,17.954700889085572,0
coming,48476,26092,5765,2,40,"holdem,holdem1",53.82457298456968,11.892482878125255,Fish,41.93209010644443,2
lynn,48025,29991,3139,2,39,"holdem,holdem1",62.4487246225924,6.536179073399271,Fish,55.912545549193126,2
Swagger,47393,23404,4569,2,32,"holdem,holdem1",49.38282024771591,9.640664233114595,Fish,39.742156014601306,0
loki2b,46494,12859,4328,1,6,holdem1,27.657332128876845,9.308728007915,Fish,18.348604120961845,0
tigger2,40793,19931,67,2,15,"holdem,holdem1",48.85887284583139,0.1642438653690584,Fish,48.69462898046233,0
Travis,40187,25481,1098,2,51,"holdem,holdem1",63.40607659193272,2.7322268395252194,Fish,60.6738497524075,2
Quick,40133,22144,4758,3,70,"holdem,holdem1,holdemii",55.17653801111305,11.855580195848802,Fish,43.32095781526425,2
Benja,39340,18993,4992,3,34,"holdem,holdem1,holdemii",48.27910523640061,12.689374682257244,Fish,35.589730554143365,0
eazymoney,38162,13065,2968,2,42,"holdem,holdem1",34.23562706357109,7.777370158796709,Fish,26.458256904774377,0
RiverRatt,38036,21925,10857,2,47,"holdem,holdem1",57.64275949100852,28.544010937007048,LAG,29.09874855400147,3
Krissie,37484,15109,105,1,16,holdem,40.30786468893395,0.2801195176608686,Fish,40.02774517127308,0
CityPam,37138,18662,2004,1,21,holdem,50.25041736227045,5.39609025795681,Fish,44.85432710431364,0
SheDevil,35523,13625,1644,1,15,holdem,38.35543169214312,4.627987501055654,Fish,33.72744419108746,0
alfalfa,34563,14338,807,2,29,"holdem,holdemii",41.48366750571421,2.334866765037757,Fish,39.14880074067645,0
Crassus,34404,8063,2990,2,28,"holdem,holdem1",23.436228345541217,8.690849901174282,Rock,14.745378444366937,0
Loboc,33512,11073,2134,3,63,"holdem,holdem1,holdemii",33.04189544043925,6.367868226306994,Fish,26.67402721413225,0
PeeWee,32891,13823,4363,2,47,"holdem,holdem1",42.026694232464806,13.265026907056644,Fish,28.76166732540816,0
