player,total_hands,vpip_hands,pfr_hands,VPIP,PFR,heuristic_label
AROD,1336,763,497,57.11077844311377,37.200598802395206,LAG
Aesop,176,89,17,50.56818181818182,9.659090909090908,Fish
AlexPOgan,188,74,10,39.361702127659576,5.319148936170213,Fish
Apus,40,27,6,67.5,15.0,LAG
Arnie,148,75,22,50.67567567567568,14.864864864864865,Fish
Bar1,185,105,0,56.75675675675676,0.0,Fish
Baronne,287,174,77,60.62717770034843,26.82926829268293,LAG
Bartholow,57,28,14,49.122807017543856,24.561403508771928,LAG
BigSexy,217,191,74,88.0184331797235,34.10138248847927,LAG
Bomber,394,211,62,53.55329949238579,15.736040609137056,LAG
Bored,116,62,16,53.44827586206896,13.793103448275861,Fish
Borgbug,120,75,16,62.5,13.333333333333334,Fish
CFsatan,73,41,14,56.16438356164384,19.17808219178082,LAG
Calvert,371,307,41,82.74932614555256,11.05121293800539,Fish
CapIt,113,52,23,46.017699115044245,20.353982300884958,LAG
CarolAnn,323,182,38,56.34674922600619,11.76470588235294,Fish
Carreras,50,10,0,20.0,0.0,Rock
Charles,207,76,26,36.71497584541063,12.560386473429952,Fish
Chinook,126,31,14,24.6031746031746,11.11111111111111,Rock
ChrisVWH,32,12,6,37.5,18.75,LAG
Chronicus,35,22,17,62.857142857142854,48.57142857142857,LAG
Citan,188,68,19,36.17021276595745,10.106382978723403,Fish
Cole,873,294,47,33.67697594501718,5.383734249713632,Fish
CoolDood,352,286,57,81.25,16.193181818181817,LAG
CrackPot,365,136,43,37.26027397260274,11.78082191780822,Fish
CumSLUT,86,58,48,67.44186046511628,55.81395348837209,LAG
D,215,102,47,47.44186046511628,21.86046511627907,LAG
D-BAG,80,51,12,63.74999999999999,15.0,LAG
DBacker,163,71,4,43.558282208588956,2.4539877300613497,Fish
DaCroak,468,207,5,44.230769230769226,1.0683760683760684,Fish
DaveB,293,54,16,18.43003412969283,5.460750853242321,Rock
DigiPuss,295,173,14,58.644067796610166,4.745762711864407,Fish
Disastro,458,132,30,28.82096069868996,6.550218340611353,Fish
DocBot,32,24,10,75.0,31.25,LAG
Dodger26,147,60,13,40.816326530612244,8.843537414965986,Fish
Don,235,95,26,40.42553191489361,11.063829787234042,Fish
DrOakland,147,29,13,19.727891156462583,8.843537414965986,Rock
