Data      920048832 10  2 Bf  -     -     -         1000   10    0 
Data      920048868 10  1 Bf  -     -     -          990    5    0 
Data      920048932 10 10 f   -     -     -          985    0    0 
Data      920048973 10  9 f   -     -     -          985    0    0 
Data      920049022 10  8 cc  kf    -     -          985   40    0 
Data      920049096 10  7 f   -     -     -          945    0    0 
Data      920049152 10  6 f   -     -     -          945    0    0 
Data      920049218 10  5 ccc f     -     -          945   40    0 
Data      920049274 10  4 f   Q     -     -          905    0    0 
Data      920091004  7  5 rr  brc   brf   -          905  140    0 
Data      920091076  8  4 f   -     -     -          765    0    0 
Data      920091166  9  3 r   bc    bf    -          765   60    0 
Data      920091239 10  2 Br  br    brc   brc        705  250    0 Jc 4c
Data      920091348 10  1 Br  br    br    b          455  140  430 7c Td
Data      920091420 10  8 Q   -     -     -          745    0    0 
Data      920097862  2  2 Brc rr    rr    rf         670  200    0 
Data      920097911  3  1 Bc  krc   bc    f          470   90    0 
Data      920097943  3  3 c   rc    rc    f          380  100    0 
Data      920097988  3  2 Bc  c     c     rf         280   90    0 
Data      920098027  3  1 Bc  kf    -     -          190   10    0 
Data      920098058  3  3 f   -     -     -          180    0    0 
Data      920098087  4  2 Br  b     rf    -          180   70    0 
Data      920098122  4  1 Bc  b     br    b          110  100    0 6d Jd
Data      920098153  3  3 cA  -     -     -           10   10    0 4h 5c
Data      920224467  7  5 f   -     -     -         1000    0    0 
Data      920224531  9  6 f   -     -     -         1000    0    0 
Data      920224583 10  6 f   -     -     -         1000    0    0 
Data      920224661  8  4 r   b     b     f         1000   50    0 
Data      920224749  9  3 f   -     -     -          950    0    0 
Data      920224830  9  2 Brc br    brc   brc        950  240  820 Jh 5c
Data      920224910  8  1 Brr f     -     -         1530   40    0 
Data      920225005  8  8 rc  f     -     -         1490   40    0 
Data      920225118  7  6 rc  rr    brc   b         1450  180    0 Qs 7s
Data      920225232 10  8 rr  rr    rr    rr        1270  240  685 Ad Kc
Data      920225341 10  8 rc  rc    rc    rc        1715  250    0 As Th
Data      920225419  9  6 rc  rc    rc    rc        1465  250    0 8h 3d
Data      920225542  9  5 rc  rc    rc    rc        1215  320    0 6h 7d
Data      920225657  9  4 rc  rr    rc    brc        895  240  860 Qd Th
Data      920225747  6  2 rr  brc   brc   brc       1515  240  730 Kc Th
Data      920225807  6  2 Br  bc    bc    br        2005  240    0 Ts Qs
Data      920225890  6  1 Brc br    br    br        1765  240    0 9c 5s
Data      920225974  5  5 rc  rc    rc    rc        1525  240  800 3h 4c
Data      920226036  5  4 rc  Q     -     -         2085   40    0 
